wallet,chain,risk_score,actionability,campaign_terror_score,is_top_campaign_lead,risk_categories,risk_tags,distinct_senders,distinct_recipients,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient,country_codes,hits_interesting_country,anchor_exchange,anchor_usdt
bc1qpvsxc27np5tswzek6eevhflhnk8r2dm78wlwny,bitcoin,49.5,49.5,99.9,True,[],[],2661,0,2661.0,665.25,True,[],False,,0.0
bc1q6zxlrcpz2ceecd5pvf8g4rt00pszf0qxpg92vd,bitcoin,49.4,49.4,99.7,True,[],[],1303,0,1303.0,217.17,True,[],False,,0.0
0x5ca9d4614e5426212ded35fb40951c1dc47926d1,tron,49.1,49.1,90.6,True,[],[],580,1,580.0,72.5,True,[],False,,0.0
0xeb187b6b15120eb3a6b09a0b73c6cd83ddb2c064,ethereum,48.6,48.6,91.1,True,[],[],320,1,320.0,320.0,True,[],False,,0.0
0x96e74e1cd5edecfc7f90372b024e092d2b2eb644,tron,47.7,47.7,91.0,True,[],[],409,1,409.0,409.0,True,[],False,,0.0
0x88a4f1f15052a64bda4d9c0108bfe771f9e0d5bc,tron,47.3,47.3,92.2,True,[],[],501,1,501.0,100.2,True,[],False,,0.0
bc1q4kuugektk3232wnwzn5dy2s7a65njdq2dsda67,bitcoin,47.0,47.0,99.8,True,[],[],2117,0,2117.0,2117.0,True,[],False,,0.0
bc1qwhclgrlkcthmv36ugcvjmp9et5dtu3tt4du4kk,bitcoin,46.8,46.8,99.6,True,[],[],1178,0,1178.0,1178.0,True,[],False,,0.0
bc1qrmgzm369ym4mulwvgrp06xnjrnfj2hu7kgs0yk,bitcoin,46.1,46.1,99.8,True,[],[],1411,0,1411.0,1411.0,True,[],False,,0.0
bc1qnkv55zpm302kl8w0xmxatxpkjqdultp0r5lw88,bitcoin,45.6,45.6,99.6,True,[],[],1084,0,1084.0,180.67,True,[],False,,0.0
bc1q8rf5tn78m04geq24mm9j0d8cdmxhu27ncensq0,bitcoin,45.4,45.4,99.8,True,[],[],1640,0,1640.0,1640.0,True,[],False,,0.0
0xf059439979be189009593b0d8e83bc6d880d609b,tron,44.8,44.8,94.3,True,[],[],470,1,470.0,78.33,True,[],False,,0.0
0x22a4247ad0f3f30f8e2ded14a290071c78a29453,ethereum,44.6,44.6,71.0,True,[],[],978,3,326.0,42.52,False,[],False,,0.0
bc1qvzjj6d9vfmpr0ewhwglsrehcnt0x350mu6mkrt,bitcoin,43.0,43.0,99.7,True,[],[],1361,0,1361.0,453.67,True,[],False,,0.0
bc1qg4ltfdg8mc7f7uxkk5jufaklx8dur7qq44argy,bitcoin,42.6,42.6,99.7,True,[],[],1331,0,1331.0,1331.0,True,[],False,,0.0
0xddfed0ea15221cb42c429e6cec9fb5d69b7a4163,tron,42.3,42.3,94.6,True,[],[],409,1,409.0,102.25,True,[],False,,0.0
0x25fdad781a6903cad2c53e851ff4cdcbc0930810,tron,40.7,40.7,92.4,True,[],[],333,1,333.0,37.0,True,[],False,,0.0
bc1qja094vwxw3j5udrqm99gxpqnjgka8nneu0c6cx,bitcoin,40.4,40.4,99.6,True,[],[],1063,0,1063.0,1063.0,True,[],False,,0.0
0xdcd5c89b8c16187e5727297160c60a6472ff1ecc,tron,39.5,39.5,91.2,True,[],[],208,1,208.0,208.0,True,[],False,,0.0
0x06798c9e490521a2958fc658293a1f89f5e2fbcf,ethereum,39.0,39.0,86.5,True,[],[],186,0,186.0,186.0,True,[],False,,0.0
bc1q0z4zdq79vn36frnhp8gyt8j5xspwp27nq8n486,bitcoin,38.9,38.9,99.5,True,[],[],935,0,935.0,46.75,True,[],False,,0.0
0x20fd6ec25a0506d72b674e2751dabb44558bce80,tron,38.9,38.9,91.7,True,[],[],296,1,296.0,42.29,True,[],False,,0.0
bc1qd2x3hwgzw27spkuq9y3dvrumux4xt76njs4weu,bitcoin,38.7,38.7,99.5,True,[],[],881,0,881.0,881.0,True,[],False,,0.0
0xa9a78b0e26070224888873166429ae6b4505aa31,tron,37.4,37.4,92.3,True,[],[],323,1,323.0,46.14,True,[],False,,0.0
0x5a9f2f8f0508e2ac7bcfe6f3ef2e822c852ce48f,ethereum,36.5,36.5,80.8,True,[],[],159,0,159.0,159.0,True,[],False,,0.0
0xe0f9ee725be0b5b5ba8d33fb87377f08d7bb97c4,ethereum,36.4,36.4,76.3,True,[],[],147,0,147.0,147.0,True,[],False,,0.0
0xc3a35428de74e7981055e26c3a4163d383a9c9d1,ethereum,36.4,36.4,82.1,True,[],[],136,0,136.0,136.0,True,[],False,,0.0
0x807926ee5a7425ef21f04f2791b0c1cb5ded7d28,tron,36.0,36.0,91.7,True,[],[],329,1,329.0,29.91,True,[],False,,0.0
0xe37c9d39ae8f819ba0077d51bf4f62a6fbd0f6a0,ethereum,35.8,35.8,74.5,True,[],[],114,0,114.0,114.0,True,[],False,,0.0
0x66306e09fe5553ea21bc10d5cb3a5cf25960c6d6,tron,35.1,35.1,92.0,True,[],[],307,1,307.0,30.7,True,[],False,,0.0
0x45462a36ad9ecf4dbc0918ea3774e1a70c8eaf4a,tron,34.9,34.9,91.3,True,[],[],249,1,249.0,249.0,True,[],False,,0.0
0xbf3dd82d75d0a70a9388eb369d4b774232a1ead9,ethereum,32.7,32.7,72.6,True,[],[],102,1,102.0,4.08,True,[],False,,0.0
0x00f503370b6cfd14a742427e79b2859bd8d86df9,ethereum,32.2,32.2,78.9,True,[],[],129,0,129.0,129.0,True,[],False,,0.0
0xa7a3da44ccf09ce44bd8845c1c7c90ba7c4edcd6,ethereum,31.1,31.1,79.8,True,[],[],213,1,213.0,53.25,True,[],False,,0.0
0xd35e0895c5551b48fc2a84f7614542757d34c0b6,ethereum,30.1,30.1,73.5,True,[],[],126,0,126.0,126.0,True,[],False,,0.0
0x2e6536e372cb2c6c5329c349d61cffdc0b89a15b,tron,28.9,28.9,91.1,True,[],[],233,1,233.0,116.5,True,[],False,,0.0
0x5a5d922bee066cc594e307b0c19c1972bef40088,ethereum,28.6,28.6,70.8,True,[],[],120,0,120.0,120.0,True,[],False,,0.0
0xe9bf83e1883f9ed6a875d9e03a1da444e5871099,tron,27.3,27.3,90.7,True,[],[],173,1,173.0,17.3,True,[],False,,0.0
0x9090bd330e88984d1aae8759a7e7395bea0f598a,ethereum,25.6,25.6,73.7,True,[],[],85,1,85.0,85.0,True,[],False,,0.0
