wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
0x9555d4490a49dd471b569139f399116b673bf31a,tron,USDT,1060726.190439,1104069.475054,USDT,1060726.190439,1304,4,24,8,16,0.0,0.16838115863562533,1.0408618972602737,False,0.8866609538812786,-0.09619408393960116,True,False,,72.4,,0,[],[],0,False,False,,,61.2,False,,,0.0,,False,72.4,0,,False,[],,False,326.0,54.33,False
0xb4d0c51ccb1a185eb3e59f3a221c0cd8dd01aabd,tron,USDT,1891687.2885019998,2016407.7470210001,USDT,1891687.2885019998,1782,3,23,8,22,0.1504719600222099,0.007773459189339256,1.0659308011831938,False,0.6587721730966946,-0.12768202086502578,True,False,,72.0,,0,[],[],0,False,False,,,41.1,False,,,0.0,,False,72.0,0,,False,[],,False,594.0,77.48,False
0x7ab05b4dcf512e5281745177452d7f54e81d7085,tron,USDT,212746.742067,287112.489108,USDT,212746.742067,3103,3,5,8,20,0.016630059617194853,0.0021964229683087543,1.3495505798043201,False,0.5975065507058027,-0.133584906193576,True,False,,71.5,,0,[],[],0,False,False,,,72.1,False,,,0.0,,False,71.5,0,,False,[],,False,1034.33,620.6,False
0xc93b59594d1800be4b4d80dfe6068229cae2af4b,tron,USDT,837137.2695220002,931000.0,USDT,837137.2695220002,2197,1,13,8,24,0.08182640144665461,0.026220614828209764,1.1121234639709623,False,0.6147419738724741,-0.12965677502159867,True,False,,71.2,,0,[],[],0,False,False,,,91.1,True,,,0.0,,False,71.2,0,,False,[],,False,2197.0,169.0,True
0x186b8b2ae81def818ccb8408861ce648595ae234,ethereum,USDT,1273745.2591020002,0.0,USDT,1273745.2591020002,627,0,0,30,24,0.2374079528718704,0.10220913107511045,0.0,True,0.42845528455284554,-0.15552798445810578,True,False,,69.4,,0,[],[],0,False,False,,,91.5,True,,,0.0,,False,69.4,0,,False,[],,False,627.0,627.0,True
0x20276073f25118fe777ba0acc0a4c0e541a5ffcb,tron,USDT,503335.97552300006,513900.0,USDT,503335.97552300006,1949,1,10,8,22,0.06417842512517069,0.004551661356395084,1.0209880179258461,False,0.6143857297481641,-0.1178741188158815,True,False,,69.2,,0,[],[],0,False,False,,,88.2,False,,,0.0,,False,69.2,0,,False,[],,False,1949.0,194.9,True
0xc66bc261c088fb8ec7f8d18452f1b39c2b20cf1a,tron,USDT,493999.9610869997,493999.96108700003,USDT,493999.9610869997,1222,1,7,7,1,0.0,0.1675835801946678,1.0000000000000007,False,0.8439999999999999,-0.08273055906761484,True,False,,69.1,,0,[],[],0,False,False,,,89.2,False,,,0.0,,False,69.1,0,,False,[],,False,1222.0,174.57,True
0xd4b13bad3b585c1786a86c9527909fdb879f685c,tron,USDT,1014396.8749930004,887900.0,USDT,1014396.8749930004,1479,1,10,8,24,0.8030261348005502,0.04924346629986245,0.8752984378092911,False,0.6196846875618582,-0.11561298707611811,True,False,,69.0,,0,[],[],0,False,False,,,91.2,True,,,0.0,,False,69.0,0,,False,[],,False,1479.0,147.9,True
0x4f06b3ed3b08a9942b2888374aaca7bf193e8284,tron,USDT,328698.424174,221496.258067,USDT,328698.424174,1554,4,6,4,8,0.0006435006435006435,0.010296010296010296,0.6738585943136393,False,0.7593967188627279,-0.09481333767102451,True,False,,69.0,,0,[],[],0,False,False,,,71.9,False,,,0.0,,False,69.0,0,,False,[],,False,388.5,259.0,False
0xe65b1448e8e7bf9dc799945cf18c8394104b3537,tron,USDT,317298.3663099999,316448.881753,USDT,317298.3663099999,1585,1,23,8,24,0.12555205047318613,0.0018927444794952682,0.9973227578607514,False,0.6157978849054836,-0.11267456372989304,True,False,,68.4,,0,[],[],0,False,False,,,95.0,True,,,0.0,,False,68.4,0,,False,[],,False,1585.0,68.91,True
