wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
0x9f006a5328d2f5fd44bbb728168620ba60863a70,ethereum,USDT,877566.3452869995,0.0,USDT,877566.3452869995,568,0,0,57,24,0.22975814931650893,0.04416403785488959,0.0,True,0.38211382113821135,-0.13335539763290138,True,False,,64.4,,0,[],[],0,False,False,,,85.1,True,,,0.0,,False,64.4,0,,False,[],,False,568.0,568.0,True
0x546fad8125d2b441470de495a963954033ac5490,ethereum,USDT,1534636.6029620017,1510266.6782149998,USDT,1534636.6029620017,118,4,12,89,24,0.1903964265773311,0.002233389168062535,0.9841200680995322,False,0.5951979973597439,0.04212073458619181,False,False,,39.4,,0,[],[],0,False,False,,,58.0,False,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,43387.051449,6.0,True,64.4,0,,False,"['AE', 'GLOBAL', 'MT', 'US']",exchange,True,29.5,9.83,False
0x92ea49b6e51de747f6cec1b4e07c78ce4bd72bc6,ethereum,USDT,21038.94813899999,20843.591382,USDT,21038.94813899999,259,1,24,26,17,0.22692307692307692,0.0,0.990714518819605,False,0.7332377547124305,0.06476433403245313,False,False,,39.0,,0,[],[],0,False,False,,,88.0,True,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,20843.591382,1.0,True,64.0,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,259.0,10.79,True
0xc2b9da89f92d20a4bd1440ae50165db3a4431751,ethereum,USDT,26623.776301000005,27228.06842,USDT,26623.776301000005,70,2,2,7,8,0.013333333333333334,0.9066666666666666,1.0226974608022565,False,0.7911244644791151,0.0861333561380484,False,False,,36.7,,0,[],[],0,False,False,,,22.1,False,Binance 17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,183.173988,2.0,True,61.7,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,35.0,35.0,False
0x706aa393f29e10f99d1a7fb1311a7c34c7d28822,ethereum,USDT,19558.884288,19583.852431,USDT,19558.884288,77,15,18,11,11,0.012195121951219513,0.7317073170731707,1.0012765627441906,False,0.7754899449037365,0.08757403211748938,False,False,,36.1,,0,[],[],0,False,False,,,26.5,False,Binance 18,0x9696f59e4d72e237be84ffd425dcad154bf96976,119.92584,2.0,True,61.1,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.13,4.28,False
0xe865f239279350272892c30d450be9465ca3b8fa,ethereum,USDT,621438.0644010002,621438.0644009998,USDT,621438.0644010002,159,3,24,17,24,0.2502685284640172,0.0053705692803437165,0.9999999999999994,False,0.632520325203252,0.06730501510128972,False,False,,36.0,,0,[],[],0,False,False,,,58.6,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,244713.713948,5.0,True,61.0,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,53.0,6.62,False
0x3210a7a6badbebcdff4037aed567c9b110de9ed3,ethereum,USDT,80583.73813099998,82145.0,USDT,80583.73813099998,53,17,19,32,23,0.09848484848484848,0.26515151515151514,1.0193744036354082,False,0.5008676666983927,0.05481489886563412,False,False,,34.9,,0,[],[],0,False,False,,,27.8,False,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,13204.5786,5.0,True,59.9,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,3.12,2.79,False
0xb8721bcaff22c756e7a2ead2c404c14730e6a7cc,ethereum,USDT,46383.02950599999,46904.47298199999,USDT,46383.02950599999,92,16,16,13,14,0.19402985074626866,0.5746268656716418,1.011242117678677,False,0.8041201401499014,0.11229431275595592,False,False,,32.5,,0,[],[],0,False,False,,,22.2,False,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,124.091106,2.0,True,57.5,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.75,5.75,False
0x435b2c9e939ef9fd49a92a86f7bc1d03ee57cc51,ethereum,USDT,190931.02995000005,179140.550537,USDT,190931.02995000005,1530,5,8,12,12,0.07315480078380143,0.007184846505551927,0.9382474424608317,False,0.8358879708769902,-0.02655807261302967,True,False,,57.3,,0,[],[],0,False,False,,,67.0,False,,,0.0,,False,57.3,0,,False,[],,False,306.0,191.25,False
0x108828aeda605e33435d7abbd987b178434fe7eb,ethereum,USDT,1054244.3838659998,1016970.2661990001,USDT,1054244.3838659998,430,5,22,87,24,0.3432642487046632,0.0025906735751295338,0.9646437597985464,False,0.6662349850220399,-0.05810884597336885,True,False,,56.5,,0,[],[],0,False,False,,,59.8,False,,,0.0,,False,56.5,0,,False,[],,False,86.0,19.55,False
