"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"0x567c4d6973709fdbae569f8b9e3e8fe0498ce97a","tron","USDT",126041.75693100007,0.0,"USDT",126041.75693100007,513,0,0,1,2,1.0,0.09161793372319688,0.0,True,0.3528352490421456,-0.12059921405794582,True,False,"",57.9,"",0,"[]","[]",0,False,False,"",""
"0xd749072731ca77591e00fc48bd030656072956aa","tron","USDT",1499592.0000000002,1499592.0,"USDT",1499592.0000000002,99,1,1,2,11,0.36134453781512604,0.15966386554621848,0.9999999999999999,False,0.5992720306513409,-0.07580795771020143,True,False,"",57.5,"",0,"[]","[]",0,False,False,"",""
"0xd1fc584ed96ed22a10e26eeff3bd7da50f0e5978","tron","USDT",156099.0,180000.0,"USDT",156099.0,860,1,5,5,7,0.19657258064516128,0.009072580645161291,1.1531143697269042,False,0.7386874708822053,-0.04939934713145511,True,False,"",57.1,"",0,"[]","[]",0,False,False,"",""
"0x9a4eb4042c301910e14705cb159e484bd4d0546a","tron","USDT",88872.956911,69000.0,"USDT",88872.956911,1025,5,7,8,21,0.2882065596650384,0.056524773203070484,0.776389155917234,False,0.6484195936355541,-0.0650647748788542,True,False,"",57.1,"",0,"[]","[]",0,False,False,"",""
"0xaf725303909f6e0d0590d9a5580193ffc502c536","tron","USDT",285665.205785,340100.0,"USDT",285665.205785,976,2,5,8,24,0.13088301210219633,0.18377409233527567,1.1905545131596083,False,0.7180576797435573,-0.05148490078223533,True,False,"",56.9,"",0,"[]","[]",0,False,False,"",""
"0xb00da0113218a9f68b41644a877705b8bc6d5972","tron","USDT",1300737.219284,1310000.0,"USDT",1300737.219284,663,2,25,8,24,0.29796264855687604,0.41256366723259763,1.0071211775742825,False,0.8079627376652201,-0.03462911394618118,True,False,"",56.7,"",0,"[]","[]",0,False,False,"",""
"0x0d443683833d220942df0afa51926477dfff0fc9","tron","USDT",1352680.8129360003,1528176.100064,"USDT",1352680.8129360003,113,4,9,8,24,0.13612565445026178,0.2107329842931937,1.1297388751652997,False,0.6686116119401201,-0.058384403940098584,True,False,"",56.7,"",0,"[]","[]",0,False,False,"",""
"0x338233e00838cee258b6cac370a6592ec9f3fb1e","tron","USDT",1004751.1699999999,934774.56,"USDT",1004751.1699999999,81,25,25,1,9,0.0,0.7661290322580645,0.9303542886145633,False,0.8053620454623762,-0.034331598804688945,True,False,"",56.6,"",0,"[]","[]",0,False,False,"",""
"0x5a579f5c464e04f8f93f6123362a8fb73d871702","tron","USDT",1011515.7793569999,0.0,"USDT",1011515.7793569999,288,0,0,8,23,0.14388489208633093,0.2637889688249401,0.0,True,0.4198084291187739,-0.09952106949551554,True,False,"",56.5,"",0,"[]","[]",0,False,False,"",""
"0x8713173887299b893e17d98a473444cf19b28779","tron","USDT",350372.9524090001,334000.0,"USDT",350372.9524090001,645,1,1,8,24,0.20958943439563596,0.22853861613551535,0.953269930522812,False,0.712416438211842,-0.04905698553874305,True,False,"",56.4,"",0,"[]","[]",0,False,False,"",""
"0xd78591a7e37d61f93357277c6042877969a81bb8","tron","USDT",1288529.8962939994,0.0,"USDT",1288529.8962939994,385,0,0,8,24,0.24153498871331827,0.11963882618510158,0.0,True,0.36521072796934867,-0.10771751197337498,True,False,"",56.3,"",0,"[]","[]",0,False,False,"",""
"0xd9fcd35ebcf3f404fcb4693deb325497636d947f","tron","USDT",111666.11670000003,0.0,"USDT",111666.11670000003,433,0,0,8,24,0.1632088520055325,0.0027662517289073307,0.0,True,0.30961685823754787,-0.11563948075471253,True,False,"",56.1,"",0,"[]","[]",0,False,False,"",""
"0xdc0254b78bf8f0412cc5fe01859f4d3a76b27e56","tron","USDT",586638.0063209999,625000.0,"USDT",586638.0063209999,936,2,13,8,24,0.2007366482504604,0.011663597298956415,1.0653929565859204,False,0.6587604891425861,-0.05389679330455177,True,False,"",55.8,"",0,"[]","[]",0,False,False,"",""
"0xc123813581db091b091ce9cd2a3c153ab5e7bcc2","tron","USDT",444879.61494899984,445163.0,"USDT",444879.61494899984,755,1,3,5,8,0.0,0.021794871794871794,1.000636992663808,False,0.7813668543408017,-0.030936645075261837,True,False,"",55.5,"",0,"[]","[]",0,False,False,"",""
"0x87afea76676e92b3c663db2f6dfa148070d49e3c","tron","USDT",129483.97929500003,0.0,"USDT",129483.97929500003,201,0,0,8,18,0.009950248756218905,0.32338308457711445,0.0,True,0.5680842911877394,-0.06754181177592344,True,False,"",55.5,"",0,"[]","[]",0,False,False,"",""
"0x1340fd86a0b2713be93191e961317edcaf8309ea","tron","USDT",1664820.1121009998,1662000.0,"USDT",1664820.1121009998,676,1,22,8,21,0.3037837837837838,0.018378378378378378,0.9983060559633432,False,0.6276497169397951,-0.050993982478985345,True,False,"",54.6,"",0,"[]","[]",0,False,False,"",""
"0x2c797cb48b62ddf6b5c6bcc2db601dcc47035d1c","tron","USDT",1162213.1729040006,0.0,"USDT",1162213.1729040006,262,0,0,8,24,0.3284518828451883,0.23640167364016737,0.0,True,0.410632183908046,-0.08767678825645164,True,False,"",54.5,"",0,"[]","[]",0,False,False,"",""
"0x4c95ded7abec2eefd6095f596945acdd45ac4518","tron","USDT",96772.726,99090.9,"USDT",96772.726,75,21,24,8,22,0.10091743119266056,0.3853211009174312,1.0239548279336472,False,0.6138871953328108,-0.05251909945437594,True,False,"",54.4,"",0,"[]","[]",0,False,False,"",""
"0xf04fab638509c87cc7ca00e52830dac5d0b3025b","tron","USDT",513723.3684020001,0.0,"USDT",513723.3684020001,317,0,0,6,22,0.4448979591836735,0.10408163265306122,0.0,True,0.3522988505747126,-0.09523787335741896,True,False,"",54.1,"",0,"[]","[]",0,False,False,"",""
"0xc35c44e36594571dd86de3e60f7dfed17473d67d","tron","USDT",1131676.5220779998,1213444.349322,"USDT",1131676.5220779998,685,5,11,8,24,0.06533036377134373,0.11655530809205643,1.072253710003506,False,0.7039400625969999,-0.03265839680861016,True,False,"",53.8,"",0,"[]","[]",0,False,False,"",""
