"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"0xc48042826ed32bd2026c88d1a9ca61626c0484f4","ethereum","USDT",41358.13817699998,90350.0,"USDT",41358.13817699998,91,4,16,78,24,0.23214285714285715,0.014285714285714285,2.184576095116518,False,0.37367688022284123,0.15585131128880042,False,False,"",11.6,"",0,"[]","[]",0,False,False,"",""
"0xe94be4c8fc72d8a555c86821f8b1964252ae666d","ethereum","USDT",44174.847546000005,17458.679829,"USDT",44174.847546000005,61,4,6,9,8,0.0,0.0,0.39521765889106886,True,0.36957277968907726,0.15626635245716586,False,False,"",11.4,"",0,"[]","[]",0,False,False,"",""
"0xf83cbc1cfc97361391859a02c5011c6a19423dcd","ethereum","USDT",41550.60316399999,33588.766363,"USDT",41550.60316399999,54,5,12,73,22,0.05172413793103448,0.017241379310344827,0.8083821606734645,False,0.41084077753859266,0.16377877574840988,False,False,"",11.2,"",0,"[]","[]",0,False,False,"",""
"0xffc5d18d44a3ffea7fdda70a2e201c67ef575a59","ethereum","USDT",33571.338577999995,5023.0,"USDT",33571.338577999995,73,4,7,49,23,0.3969465648854962,0.015267175572519083,0.14962167767989085,True,0.25917224639948794,0.14462023369815774,False,False,"",10.7,"",0,"[]","[]",0,False,False,"",""
"0x695ed81607de56c77c494c47ff661b9c1bad8a58","ethereum","USDT",50278.65104399999,76637.875,"USDT",50278.65104399999,61,8,15,32,19,0.10126582278481013,0.0,1.5242627518572933,False,0.28567669753940483,0.15601026158025116,False,False,"",9.4,"",0,"[]","[]",0,False,False,"",""
"0x200c02b6fb479e5d8edccda25b7bab7780880558","ethereum","USDT",91918.07871000002,45003.620053,"USDT",91918.07871000002,58,9,21,67,21,0.34838709677419355,0.03225806451612903,0.4896057520412895,True,0.23287936767845288,0.14842290658091745,False,False,"",9.4,"",0,"[]","[]",0,False,False,"",""
"0xfb9410e21625659b429eab63145872c6757cc178","ethereum","USDT",114145.20827200003,45344.978703999994,"USDT",114145.20827200003,54,5,6,68,23,0.32432432432432434,0.08648648648648649,0.39725696234174007,True,0.29491100249620317,0.15800020864051356,False,False,"",9.3,"",0,"[]","[]",0,False,False,"",""
"0x0bfb6c5691a20fffa9bf23ba23ed0d65d6fbf2fa","ethereum","USDT",25127.670813999994,9005.0,"USDT",25127.670813999994,60,5,8,43,21,0.05813953488372093,0.023255813953488372,0.3583698651043623,True,0.2591391540793683,0.1540066828842106,False,False,"",9.1,"",0,"[]","[]",0,False,False,"",""
"0x71a2f4f28f876688fbe21307713faeb22366a261","ethereum","USDT",75542.24871900001,27953.866303,"USDT",75542.24871900001,51,3,8,61,21,0.4,0.032,0.370042814147379,True,0.21453781074033934,0.14825082137368367,False,False,"",8.9,"",0,"[]","[]",0,False,False,"",""
"0x09c953d3667ca40a1ac5153f0a015fa1a74473b9","ethereum","USDT",33815.588592,53010.0,"USDT",33815.588592,56,4,9,30,19,0.05263157894736842,0.0,1.5676202073425083,False,0.3015177412613033,0.16333935921696424,False,False,"",8.5,"",0,"[]","[]",0,False,False,"",""
